subset,method,n,utility_pct,utility_ci95_lower_pct,utility_ci95_upper_pct,regret_pct,factor_mae,worst_mean_domain_harm_pct
all,f1,256,0.000000,0.000000,0.000000,0.229003,0.085156,0.000000
all,fixed_f_oracle,256,0.229003,0.168091,0.293120,0.000000,0.000000,1.811381
all,fstar_pred,256,-0.112366,-0.233668,-0.005367,0.341369,0.080859,2.184253
all,learned_knn,256,0.072919,0.033652,0.116855,0.156084,0.063672,0.160110
all,sift_rls,256,0.000697,-0.011332,0.012552,0.228306,,0.813283
all,dos_elm_style,256,-0.107971,-0.149922,-0.069250,0.336975,,2.185778
opportunity_present,f1,40,0.000000,0.000000,0.000000,1.220861,0.355000,0.000000
opportunity_present,fixed_f_oracle,40,1.220861,1.020594,1.450049,0.000000,0.000000,5.660489
opportunity_present,fstar_pred,40,0.791416,0.579422,1.018940,0.429445,0.150000,2.032835
opportunity_present,learned_knn,40,0.520203,0.329588,0.727908,0.700659,0.215000,-0.010641
opportunity_present,sift_rls,40,0.108637,0.077451,0.143266,1.112224,,0.528052
opportunity_present,dos_elm_style,40,0.117901,0.049552,0.202029,1.102960,,1.307093
